Raz„o Social;Fundo;CÛdigo
AZ QUEST INFRA-YIELD II FIP IE;AZQ INFRA II;AZIN;
BB ORE R…GIA MINERAIS CRÕTICOS FIP;FIP MINE;MINE;
BRASIL GD INFRA FIP IE RESP LIM;FIP BSGD;BSGD;
BRZ INFRA PORTOS FDO. INV. EM PART.  -  RESP LIM;FIP BRZ IE;BRZP;
BTG PACTUAL IE DIV. FDO INV. PART. IE;FIP BTGDV IE;BDIV;
COP…RNICO FDO DE INV EM PART. INFRAESTRUTURA;FIP COPN;COPN;
ENDURANCE DEBT FDO. INVEST. PART. INFRA. RESP LIM;FIP END DEBT;ENDD;
FATOR INVISTO INCOME INTERESTS FIP MULTIESTRAT…GIA;FIP FINC;FINC;
FDO INV PART EM INFRAESTRUTURA ENERG SUSTENT III;FIP IE III;ESUT;
FDO INV PART IE ENERGIA SUSTENTENTAVEL I;FIP IE I;ESUU;
FDO INV PART INFRAESTRUTURA ENERGIA SUSTENT¡VEL II;FIP IE II;ESUD;
FDO INV PART NOVA RAPOSO - MULTIESTRATEGIA;FIP NVRAPOSO;NVRP;
KINEA ESTRAT…GIA INFRA CDI FIP IE RESP LTDA;FI INFR KNDI;KNDI;
KNOX DEBT FDO. INVEST. PART. INFRAESTRUTURA;FIP IE KNOX;KNOX;
OPPORTUNITY HOLDING FDO INV PART MULT INV NO EXT;FIP OPP HOLD;OPHF;
PATRIA INFRAESTRUTURA ENERGIA CORE FIP INFRA;FIP PATR INF;PICE;
PERFIN APOLLO ENERGIA FND DE INVEST EM PART. ;FIP PERFIN;PFIN;
 POLARIS 2 FDO DE INV EM PART IE;FIP IE PLBR;PLBR;
PORTO SUDESTE ROYALTIES - FIP-IE;FIP PORT SUD;FPOR;
PRISMA PROTON ENERGIA FDO. INVEST. PART.;FIP PRISMA;PPEI;
RIZA DELPHI FDO DE INV EM PART INFRA;FIP RZDL;RZDL;
VINCI ENERGIA FDO INV PART IE RESP LIM;FIP VINCI IE;VIGT;
XP INFRA II FDO DE INV PART IE;FIP XP INFRA;XPIE;
